n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
50,None,2,1,None,0.3838174273858923,0.5557359307359305,0.6595576619273302,0.5641821946169772,0.6246542185338865,0.6807359307359307,0.7519747235387046,0.7008281573498966,"[308, 211, 161, 114]",0.475478266807896
500,None,2,1,None,0.3730982019363763,0.554324894514768,0.6206349206349208,0.5910087719298245,0.6405601659751037,0.6619198312236286,0.711111111111111,0.6995614035087719,"[316, 210, 152, 108]",0.4715431820481917
50,20,2,1,None,0.3789764868603045,0.537158469945355,0.635,0.529082774049217,0.6160096818810511,0.6546448087431693,0.7325,0.6610738255033557,"[305, 200, 149, 100]",0.46925915644944033
100,40,2,1,None,0.365145228215768,0.5402298850574713,0.6626794258373205,0.6411889596602973,0.6447095435684648,0.6525600835945663,0.7336523125996809,0.7229299363057324,"[319, 209, 157, 115]",0.46623063037719514
50,40,2,1,None,0.3699861687413558,0.5575461454940281,0.6417069243156202,0.5655913978494624,0.6205048409405257,0.6699239956568946,0.7351046698872786,0.6698924731182796,"[307, 207, 155, 105]",0.46356444741236713
100,40,5,1,None,0.3665283540802211,0.4978425026968716,0.5949913644214163,0.5037593984962406,0.6263831258644535,0.6218985976267529,0.6761658031088082,0.5889724310776941,"[309, 193, 133, 80]",0.4624524558010243
500,40,2,1,None,0.3730982019363764,0.5574324324324323,0.6268292682926829,0.5883668903803131,0.5999308437067771,0.6891891891891891,0.7089430894308942,0.7013422818791947,"[296, 205, 149, 106]",0.46007489719944056
100,40,2,2,None,0.3589211618257261,0.4957671957671956,0.6238859180035651,0.4935897435897436,0.6353734439834025,0.5925925925925926,0.6827094474153297,0.6256410256410256,"[315, 187, 130, 82]",0.45871509988160086
100,20,2,2,None,0.3596127247579535,0.50599128540305,0.6406249999999999,0.4812206572769953,0.6218879668049794,0.6225490196078431,0.7196180555555555,0.5563380281690141,"[306, 192, 142, 80]",0.4557079341040543
100,None,2,1,None,0.3630705394190872,0.565121412803532,0.6457326892109502,0.564516129032258,0.6113416320885201,0.6821192052980133,0.7383252818035427,0.6645161290322581,"[302, 207, 155, 105]",0.4555775114925097
500,40,2,1,balanced,0.3492392807745506,0.4968553459119497,0.5561497326203209,0.5981182795698925,0.6440179806362379,0.5880503144654088,0.6488413547237076,0.6922043010752688,"[318, 187, 124, 88]",0.45288644765368175
500,40,5,2,None,0.3526970954356844,0.4940476190476192,0.6453900709219859,0.4761904761904762,0.6215421853388658,0.6093073593073592,0.7304964539007093,0.5452380952380953,"[308, 188, 140, 77]",0.4500252202631005
500,20,5,1,None,0.3526970954356848,0.5362554112554113,0.5845771144278606,0.5181159420289855,0.6196403872752421,0.6477272727272727,0.6774461028192372,0.6086956521739131,"[308, 201, 138, 85]",0.4495257432579994
50,40,2,2,None,0.3540802213001384,0.5258525852585257,0.5901360544217688,0.5231143552311436,0.6113416320885201,0.6435643564356436,0.6913265306122449,0.5900243309002434,"[303, 196, 137, 82]",0.44843397654630707
50,None,2,2,None,0.3499308437067776,0.5231930960086301,0.5521367521367522,0.5174731182795699,0.6227524204702628,0.6310679611650486,0.6307692307692307,0.6370967741935484,"[309, 195, 124, 80]",0.44808066087160053
500,40,5,1,None,0.3547717842323652,0.4692393736017896,0.5856610800744879,0.4916666666666666,0.6032157676348547,0.5961968680089486,0.6517690875232774,0.5902777777777778,"[298, 179, 120, 72]",0.4467781105167739
50,20,5,2,None,0.3575380359612727,0.5090395480225989,0.5369415807560137,0.4600550964187327,0.5945712309820194,0.6542372881355932,0.6194158075601374,0.5495867768595041,"[295, 194, 121, 67]",0.4465492303144422
100,None,5,2,None,0.3513139695712312,0.494407158836689,0.6236263736263736,0.5064102564102564,0.6039073305670816,0.6096196868008948,0.7014652014652014,0.5923076923076923,"[298, 182, 130, 78]",0.4442134645112435
50,40,5,2,None,0.3416320885200554,0.5192307692307693,0.6125654450261779,0.4160401002506265,0.6308782849239281,0.6068376068376068,0.681500872600349,0.5075187969924813,"[312, 191, 133, 68]",0.44324106347010916
50,40,5,1,None,0.3457814661134165,0.5253378378378378,0.5503472222222222,0.5650406504065041,0.5995850622406639,0.6427364864864865,0.6336805555555556,0.6463414634146342,"[296, 192, 123, 80]",0.43861379827407754
500,40,2,2,None,0.3443983402489627,0.4793064876957496,0.6212121212121213,0.5145502645502645,0.6018326417704011,0.5878076062639821,0.7017045454545455,0.6058201058201058,"[298, 176, 126, 78]",0.43809633561360833
500,None,2,1,balanced,0.3409405255878285,0.5478547854785477,0.6011904761904762,0.58274231678487,0.6094398340248961,0.6424642464246424,0.7100340136054422,0.690307328605201,"[303, 196, 141, 98]",0.4372622713105677
100,40,5,2,None,0.3374827109266946,0.4977477477477477,0.5865209471766849,0.4863387978142076,0.5992392807745506,0.6114864864864865,0.6621129326047358,0.5969945355191257,"[296, 183, 122, 74]",0.43178851091617687
500,None,2,2,None,0.3381742738589217,0.4903954802259886,0.6424581005586592,0.4378109452736319,0.5949170124481327,0.603954802259887,0.7355679702048417,0.5174129353233831,"[295, 179, 134, 70]",0.43122389340320505
500,None,5,1,None,0.3416320885200551,0.5174216027874565,0.6410256410256411,0.5413625304136253,0.5824688796680499,0.6289198606271778,0.7408424908424908,0.6228710462287105,"[287, 182, 137, 87]",0.4306673549949733
50,20,5,1,None,0.3395573997233746,0.508158508158508,0.6685714285714287,0.4589552238805971,0.5772821576763485,0.6054778554778555,0.7552380952380952,0.5659203980099502,"[286, 175, 134, 77]",0.42760028575385556
100,None,2,2,None,0.3360995850622407,0.5472895040369089,0.5949913644214162,0.5387596899224806,0.582295988934993,0.6660899653979239,0.658894645941278,0.6343669250645996,"[289, 193, 129, 83]",0.42619857021446783
50,40,2,1,balanced,0.3360995850622408,0.5423925667828107,0.618673647469459,0.6376811594202898,0.5793568464730291,0.6643437862950058,0.7076788830715531,0.7270531400966185,"[287, 191, 138, 101]",0.42540876658869453
500,None,5,2,None,0.3326417704011068,0.5279761904761904,0.5631868131868133,0.4655647382920111,0.5679460580912863,0.6470238095238094,0.6510989010989011,0.5674931129476584,"[280, 182, 121, 69]",0.4195539319514822
50,None,5,2,None,0.3298755186721992,0.5376914016489989,0.5851063829787234,0.5239898989898989,0.5757261410788381,0.6548881036513544,0.6835106382978723,0.5934343434343435,"[283, 188, 132, 80]",0.41942935363819145
100,40,5,1,balanced,0.3139695712309821,0.5110722610722611,0.5571161048689138,0.5363636363636364,0.5786652835408023,0.6194638694638694,0.6058052434456929,0.6454545454545455,"[286, 178, 110, 72]",0.4070719174550056
100,None,5,2,balanced,0.3091286307053944,0.4291383219954648,0.5533769063180828,0.5982456140350877,0.5931881051175657,0.5175736961451247,0.6111111111111112,0.7,"[294, 153, 95, 67]",0.4064458064572554
50,40,5,2,balanced,0.3132780082987552,0.4299175500588928,0.5103448275862069,0.5071684587813622,0.5726141078838174,0.5050058892815077,0.6241379310344828,0.6021505376344086,"[283, 145, 93, 56]",0.4049870271215758
500,None,5,1,balanced,0.3112033195020749,0.494131455399061,0.5601577909270217,0.5119047619047619,0.573997233748271,0.59037558685446,0.6449704142011834,0.5788690476190476,"[284, 169, 112, 66]",0.4035918049792533
500,40,5,1,balanced,0.3063623789764867,0.50661853188929,0.6091954022988505,0.5588235294117647,0.559301521438451,0.6245487364620939,0.6704980842911877,0.6204481792717088,"[277, 174, 119, 75]",0.395878688232049
100,None,2,2,balanced,0.3049792531120334,0.4497549019607842,0.5664488017429194,0.56,0.549100968188105,0.5588235294117647,0.6394335511982572,0.6433333333333333,"[272, 153, 100, 65]",0.39215146068170764
50,40,2,2,balanced,0.2959889349930844,0.4664310954063603,0.6114583333333333,0.5478395061728395,0.5726141078838174,0.5636042402826855,0.6666666666666666,0.625,"[283, 160, 108, 68]",0.3902529270290985
500,40,5,2,balanced,0.2994467496542186,0.4543795620437956,0.4935483870967743,0.553030303030303,0.5523858921161826,0.5608272506082725,0.5559139784946235,0.6363636363636364,"[274, 155, 88, 56]",0.38836304653753945
500,None,2,2,balanced,0.2904564315352699,0.4757575757575757,0.6008771929824561,0.4521452145214523,0.5525587828492393,0.5496969696969698,0.6611842105263158,0.5561056105610561,"[275, 152, 101, 57]",0.3807624098386884
100,None,5,1,balanced,0.2890733056708159,0.5296296296296296,0.5686274509803921,0.5348484848484849,0.5437413554633472,0.6296296296296297,0.6392156862745099,0.596969696969697,"[270, 170, 110, 67]",0.37746960611779784
100,40,2,2,balanced,0.2831950207468876,0.475,0.5537280701754387,0.5121527777777778,0.5648340248962656,0.5363095238095239,0.6151315789473685,0.5954861111111112,"[280, 152, 96, 58]",0.3772469450683312
50,None,5,2,balanced,0.2897648686030428,0.4885057471264367,0.5422077922077922,0.5221088435374149,0.5299100968188105,0.5849297573435506,0.6222943722943723,0.5867346938775511,"[261, 154, 98, 58]",0.37465906866413257
50,None,2,2,balanced,0.2828492392807744,0.4968789013732834,0.5601265822784812,0.4783333333333333,0.5354426002766253,0.5898876404494382,0.6234177215189872,0.58,"[267, 158, 100, 58]",0.37016019186670546
50,20,2,1,balanced,0.2793914246196405,0.4855345911949685,0.579004329004329,0.3894389438943895,0.5335408022130013,0.5792452830188679,0.6493506493506493,0.4603960396039604,"[265, 154, 101, 47]",0.36673838212514265
100,20,5,1,balanced,0.2773167358229595,0.4473358116480793,0.582175925925926,0.3912280701754386,0.5394190871369294,0.5315985130111525,0.6469907407407407,0.4578947368421052,"[269, 144, 95, 44]",0.36631169168824473
500,None,5,2,balanced,0.2759336099585058,0.493107769423559,0.5408602150537634,0.4756944444444445,0.5350968188105116,0.5789473684210527,0.610752688172043,0.578125,"[266, 155, 96, 56]",0.36410766268240286
500,20,5,1,balanced,0.2752420470262792,0.4385964912280702,0.5724637681159419,0.4118773946360153,0.5371715076071921,0.5156641604010026,0.6111111111111112,0.5172413793103449,"[266, 138, 87, 45]",0.36398256655060635
50,20,5,2,balanced,0.259336099585062,0.4354005167958656,0.5174129353233831,0.3766233766233766,0.5198824343015214,0.5135658914728682,0.5659203980099503,0.4155844155844156,"[258, 134, 77, 32]",0.34604998955060196
50,20,2,2,balanced,0.2538035961272472,0.419973544973545,0.5178117048346056,0.3761261261261261,0.5089903181189488,0.5165343915343915,0.5534351145038168,0.4324324324324324,"[252, 131, 74, 32]",0.3387115988207689
500,20,2,2,balanced,0.2427385892116177,0.4706666666666667,0.5134803921568627,0.354978354978355,0.5022475795297372,0.54,0.5477941176470589,0.4090909090909091,"[250, 136, 77, 32]",0.3272943149964028
